Well #,Season,Name of Village,State as of 2016,lat,long
544,2022,Rumkier ,Warrap,7.748954,29.29271
545,2022,Ajakdit,Warrap,7.862975,29.337619
546,2022,Ayidit,Warrap,7.972436,29.28165
547,2022,Madher,Warrap,8.039875,29.488043
548,2022,Panak,Warrap,8.084689,29.282149
549,2022,Jarweng,Warrap,7.814375,29.233746
550,2022,Panur,Warrap,7.900902,29.456491
551,2022,Tarweng,Warrap,7.943559,29.302115
552,2022,Palieng Market,Warrap,7.987563,29.3171
553,2022,Machar ,Warrap,7.977807,29.31023
554,2022,Aluom,Warrap,7.60129,28.748522
555,2022,Akier - Panyangthii,Warrap,7.711448,28.909863
556,2022,Anguei,Warrap,8.280801,27.975449
557,2022,Toby Primary School,Western Bahr-El-Ghazal,7.683869,27.976275
