Well #,Season,Name of Village,State as of 2016,lat,long
167,2013,Akuocic,Gogrial,8.216666667,28.63916667
173,2013,Rum Kueel,Wau,7.885833333,28.06472222
174,2013,Hai Kor,Wau,7.950555556,28.1175
175,2013,Sumut,Wau,7.927222222,28.15166667
176,2013,Majama,Wau,7.838888889,28.08833333
177,2013,Majak Amaal,Wau,7.895833333,28.13361111
178,2013,Pankot (Komgol Primary School),Tonj ,8.145277778,28.56166667
179,2012,Akurbiok,Tonj ,8.219444444,28.58527778
180,2013,Majaktit,Tonj ,8.2775,28.49083333
181,2013,Malekabiem,Tonj ,8.227222222,2835.183333
182,2013,Anguei,Gogrial,8.273611111,28.38944444
183,2013,Makerjok,Gogrial,8.292777778,28.58527778
184,2013,Malualamuk ,Gogrial,8.300833333,28.62583333
185,2014,Awudo,Gogrial,8.250555556,28.4575
186,2014,Kokping,Gogrial,8.866666667,27.52694444
187,2014,Titchok,Tonj ,8.345,28.485
188,2014,Lounoi Primary School,Tonj ,8.345,28.48527778
189,2014,Kuelakuak Primary School,Tonj ,8.086666667,28.70916667
190,2014,Angon,Tonj ,8.181666667,28.79527778
191,2014,Ayakakat,Tonj ,8.226944444,28.67388889
192,2014,Dhak,Tonj ,8.167777778,28.70166667
193,2014,Warrap Town,Tonj ,8.203055556,28.68111111
194,2014,Wunchuei,Tonj ,8.331388889,28.66
195,2014,Kuelchok,Tonj ,8.245555556,28.82777778
196,2014,Gaiyar (Rumrual),Tonj ,7.911944444,28.63194444
197,2014,Mouralol/Warngap,Tonj ,7.782777778,28.79861111
198,2014,Pajiing,Tonj ,7.893888889,28.17555556
199,2014,Nguetawan,Tonj ,8.069444444,28.18527778
200,2014,Yelbok,Tonj ,8.002222222,28.11777778
201,2014,Athieng,Tonj ,7.9275,29.32194444
202,2014,Tabarachuol ,Tonj ,7.918333333,28.34361111
203,2014,Agumot,Tonj ,8.002222222,29.33472222
204,2014,Panyanbech ,Tonj ,7.891388889,29.57694444
205,2014,Ajiecwel,Tonj ,8.088888889,29.52333333
206,2014,Patiaw,Tonj ,7.920555556,29.05833333
207,2014,Achuilkot ,Tonj ,8.364722222,29.06722222
208,2014,Yomkot,Tonj ,8.596666667,28.97861111
209,2014,Ngap  Deng Noon ,Tonj ,8.355277778,29.10861111
210,2014,Akolawet,Tonj ,8.305277778,28.83972222
211,2014,Angotgep,Tonj ,8.295277778,28.76888889
212,2014,Lacdiitwut ,Gogrial,8.391111111,28.47361111
213,2014,Manyang,Gogrial,8.1375,28.40388889
214,2014,Wuntim,Gogrial,8.313888889,28.26472222
215,2014,Wunngot,Gogrial,8.1575,28.25583333
216,2014,Samut,Wau,7.9375,28.18777778
217,2014,Alalnhom,Wau,7.91,28.09416667
218,2015,Kuanya,Wau,7.812222222,28.13138889
223,2015,Mawut,Gogrial,8.458333333,28.52194444
224,2015,Chueiakol,Gogrial,8.382777778,28.40611111
227,2015,Aker Adoor,Gogrial,8.396111111,28.6925
228,2015,Aker Abuok,Gogrial,8.52,27.44583333
242,2015,Watagok,Gogrial,8.353611111,28.44694444
256,2015,Mayen-Amith,Wau,7.899444444,28.22222222
257,2015,Achuirdit,Wau,7.899444444,28.22138889
262,2016,Wun-nyok,Twic,9.431944444,28.56611111
263,2016,Mager,Gogrial,9.005833333,28.29527778
264,2016,Atuet,Gogrial,9.075,28.28972222
265,2016,Panliet Market,Gogrial,9.039444444,28.41694444
267,2016,Atokngar,Gogrial,8.783333333,28.21861111
268,2016,Lilthok,Gogrial,8.858333333,28.34722222
270,2016,Wunkech,Gogrial,8.704166667,28.26138889
271,2016,Warngap,Gogrial,8.718333333,28.2575
273,2016,Mabior Dong,Gogrial,8.189722222,28.19166667
274,2016,Kuenycariik,Gogrial,8.081944444,28.23555556
275,2016,Hel-Jadid,Wau,7.755,28.25666667
276,2016,Mawach,Wau,8.003611111,28.27333333
277,2016,Eastern Bank Football Field,Wau,7.899722222,28.21583333
278,2016,Malualkuel,Wau,7.844166667,28.10305556
279,2016,Wau South Epsicopal Church,Wau,7.768888889,28.07666667
283,2017,Chuei Ajang,Wau,8.027777778,28.22888889
284,2017,Tit- Marol,Wau,8,28.00277778
285,2017,Lith Angui ,Wau,8.133888889,28.11305556
286,2017,Liethok ,Wau ,8.102222222,28.32805556
287,2017,Manyang-Nyorich ,Wau,8.033333333,28.2
288,2017,Akoc-Chok,Wau,8.261666667,28.37638889
289,2017,Pathich ,Wau,0.116666667,28.26916667
290,2017,Mangar Adet,Wau,8.356666667,28.15
291,2017,Athiaan Akuei,Wau,8.286388889,28.38361111
292,2017,Angobich,Wau,8.083333333,28.36944444
293,2017,Ror-Atiny,Gogrial,8.825555556,28.49916667
294,2017,Warkot ,Gogrial,8.278611111,nan
295,2017,Marol Ajing,Gogrial,8.369166667,28.14388889
296,2017,Rai,Gogrial,8.443055556,28.25777778
297,2017,Dutcuar,Gogrial,8.454444444,28.13083333
298,2017,Adhothok,Gogrial,8.302222222,28.23916667
299,2017,Dutcuar Primary School,Gogrial,8.374444444,28.16277778
300,2017,War Ding,Gogrial,8.299722222,28.09027778
301,2017,Thiou,Gogrial,8.331944444,28.1575
302,2017,Manyang Payam,Gogrial,8.293055556,28.32416667
303,2017,Wuntim,Gogrial,8.169722222,28.35138889
304,2017,Lorutiu,Gogrial,8.149166667,28.43305556
305,2017,Zagolona Primary School,Wau,0.752777778,28.02972222
306,2018,Luethwek,Aweil East,9.185277778,27.77277778
307,2018,Rolthok,Aweil East,9.08,27.67638889
308,2018,Pajok,Aweil East,56,27.53861111
309,2018,Wathaleu,Aweil East,9.136111111,27.59361111
310,2018,Riang-Mal,Aweil East,9.032222222,27.59583333
311,2018,Warakoon,Aweil East,9.127222222,27.455
312,2018,Anguek,Aweil East,8.912222222,27.45861111
313,2018,Lueth-Agok,Aweil East,9.005833333,27.68111111
314,2018,Kouyic,Aweil East,8.911944444,27.58361111
315,2018,Aruelpiu ,Aweil East,9.024444444,27.62777778
316,2018,Matiat Cuei,Aweil East,8.905555556,27.60333333
317,2018,War-Nyiel ,Aweil East,8.89,27.5
318,2018,Gukathie,Aweil East,9.096388889,27.70361111
319,2018,Kar-Makuach ,Aweil East,8.896944444,27.48361111
320,2018,Majook Achien ,Aweil East,8.955277778,27.68944444
321,2018,Wut-Nyap,Aweil East,9.041388889,27.57166667
322,2018,Abany,Aweil East,9.047777778,27.43888889
323,2018,Mabil,Aweil East,8.898888889,27.72166667
324,2018,Jok-Thok,Aweil East,9.034722222,27.52083333
325,2018,Arieny-Piny A,Aweil East,8.901111111,27.52083333
326,2018,Parot-Aker,Aweil East,9.089444444,27.7625
327,2018,Newsite,Aweil  ,8.856388889,27.65194444
328,2018,Lil-Miir,Aweil,44,27.51666667
329,2018,Lol - Kou ,Aweil,8.868333333,27.68277778
330,2018,Pan-Malou ,Aweil,8.806666667,27.52305556
331,2018,Majok Kuel,Aweil ,8.889444444,27.53277778
332,2018,Riangangor,Aweil,43,27.63083333
333,2018,Wakthou,Aweil,8.860555556,27.80583333
334,2018,Ayok Dhok Primary School,Wau,23,27.99861111
335,2018,Riang Kuol Bol,Wau,8.401388889,27.8775
336,2018,Ajiekdit Primary School,Wau,8.339722222,27.98722222
337,2018,Amulmul Primary School,Wau,8.433055556,27.92416667
338,2018,Waradhoth ,Wau,8.309166667,27.75472222
339,2018,Barkiny,Wau,8.189444444,27.83944444
340,2018,Laach,Wau,8,27.77027778
341,2018,Cumbar,Wau,7.8,28.07583333
342,2018,Hai Kamsin,Wau,7.761944444,28.07055556
343,2018,Jebel-Chok,Wau,7.75,28.10055556
344,2018,Eastern Bank,Wau,8.116666667,28.12638889
345,2018,Hai Jadit,Wau,7.733333333,28.03277778
346,2018,Hai Jadit,Wau,7.750277778,28.22611111
347,2018,Hai Jadit,Wau,7.830555556,28.22583333
348,2018,Hai Jadit,Wau,7.718888889,28.22638889
349,2018,Hai Jadit,Wau,7.896388889,28.00305556
340,2018,Kong Long,Wau,7.833888889,28.13
341,2019,Belbuoc,Tonj,19,28.5025
342,2019,Makuac-rual,Tonj,8.515555556,28.90305556
